,train,val,test,val_vs_base
Random Forest,83.96,51.09,48.07,-0.24
XGBoost,94.05,55.21,45.41,3.88
LightGBM,91.32,52.54,48.55,1.21
LSTM,54.47,50.85,51.69,-0.48
GRU,53.88,51.69,54.11,0.36
