,train,val,test,val_vs_base
Random Forest,76.91,49.32,50.98,-2.47
XGBoost,79.16,48.09,52.45,-3.7
LightGBM,79.4,47.35,50.74,-4.44
LSTM,57.43,51.81,53.52,0.02
GRU,52.11,54.06,50.25,2.27
