,train,val,test,val_vs_base
Random Forest,75.22,69.13,62.47,10.05
XGBoost,81.69,63.08,66.34,4.0
LightGBM,80.82,62.95,67.07,3.87
LSTM,73.95,66.79,66.75,7.71
GRU,73.53,61.76,67.0,2.68
